status,reported,description,type,address,occurred
CLOSED,2019-09-23 01:07:00+00:00,Officer dispatched to a report of a noise complaint. Officer arrived and advised the occupants to keep the noise level     down.,NOISE COMPLAINT,BOYLSTON HALL 5 HARVARD YARD CAMBRIDGE,9/23/19 1:07
CLOSED,2019-09-23 08:22:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping in the dugout. Officers arrived, located the individual, and sent them on their way.",UNWANTED GUEST,ATHLETICS - SOFTBALL FIELD 79 N HARVARD ST ALLSTON,9/23/19 8:22
CLOSED,2019-09-23 08:27:00+00:00,Officer dispatched to take a report of a suspicious email.,SUSPICIOUS CALL/TEXT/MAIL/SOCI,BAKER- BLOOMBERG LIBRARY 25 HARVARD WAY ALLSTON,9/22/19 - 10:45 PM 9/23/19 - 9:30 AM
CLOSED,2019-09-23 08:41:00+00:00,Officer took a walk-in report of annoying emails.,ANNOYING CALLS/TEXTS/EMAILS,HARVARD UNIVERSITY POLICE DEPA 1033-6 MASSACHUSETTS AVE CAMBRIDGE,9/22/19 - 3:00 PM 9/23/19 - 11:27 PM
OPEN,2019-09-23 13:08:00+00:00,"Officer dispatched to take a report of a stolen unattended and unsecured Apple Macbook laptop valued at $1,000.00.",THEFT REPORT,F.X. BAGNOUD BUILDING 651 HUNTINGTON AVE BOSTON,9/20/19 1:30 PM - 6:30 PM
CLOSED,2019-09-23 14:36:00+00:00,Officer took a report of harassment.,HARASSMENT,HUPD SUBSTATION - LONGWOOD 90 SMITH ST BOSTON,6/12/19 - 4:00 PM 9/23/19 - 2:30 PM
CLOSED,2019-09-23 17:03:00+00:00,Officer while on patrol reported a motor vehicle accident with no personal injuries. Officer arrived and reported that     State Police was on scene shortly thereafter and took jurisdiction over the incident.,ASSIST STATE POLICE,MEMORIAL DRIVE AND RIVER STREETCAMBRIDGE,9/23/19 17:03
CLOSED,2019-09-23 20:08:00+00:00,"Officer while on patrol received a report of an individual in need of assistance. Officer arrived and reported two         individuals engaged in a verbal dispute. Officer approached the individuals and conducted a field interview. During the    field interview, the reporting party informed the officer that the other individual had made threatening statements and    gestures during the aforementioned dispute which placed them in fear of being struck. The individual was then run for      wants/warrants with negative results. At the conclusion of the incident, the individual was issued a verbal trespass       warning for all Harvard University property and sent on their way.",ASSAULT REPORT,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,9/23/19 8:05 PM - 8:30 PM
OPEN,2019-09-24 08:44:00+00:00,Officer took a report of an assault.,ASSAULT REPORT,MORGAN HALL 15 HARVARD WAY ALLSTON,9/24/19 8:30 AM - 9:20 AM
OPEN,2019-09-24 09:25:00+00:00,Officer took a walk-in report of a stolen package containing a black Apple iPhone 7 valued at $400.00.,THEFT REPORT,37-41 KIRKLAND ST 41 KIRKLAND ST CAMBRIDGE,9/23/19 - 1:00 PM 9/24/19 - 8:00 AM
OPEN,2019-09-24 09:47:00+00:00,"Officer dispatched to take a report of a stolen gray triathlon bicycle valued at $1,000.00. The reporting individual       informed the officer that their bicycle was secured to the bike rack with a cable lock that was damaged and left at the    scene.",THEFT REPORT,90 MT AUBURN STCAMBRIDGE,9/23/19 - 9:30 PM 9/24/19 - 8:00 AM
CLOSED,2019-09-24 14:08:00+00:00,"Officer dispatched to a report of an individual engaged in suspicious activity. Officer arrived and spoke to the reporting party who stated that the individual had just left the building without paying for their food. Officer then located the    individual a short distance away and conducted a field interview. During the field interview, the individual made several  statements pertaining to their involvement in the aforementioned theft. The individual was run for wants/warrants with     negative results. At the conclusion of the incident, the individual was issued a verbal trespass warning for all Harvard   University property and sent on their way.",THEFT REPORT,SPANGLER CENTER 117 WESTERN AVE ALLSTON,9/24/19 2:12 PM - 2:30 PM
CLOSED,2019-09-24 14:12:00+00:00,Officer dispatched to take a report of an unwanted guest.,UNWANTED GUEST,LHRRB 45 SHATTUCK ST BOSTON,8/28/19 - 8:00 AM 9/18/19 - 4:00 PM
CLOSED,2019-09-24 15:21:00+00:00,Officer dispatched to monitor a demonstration that occurred without incident.,DEMONSTRATION,UNIVERSITY HALL 1 HARVARD YARD CAMBRIDGE,9/24/19 3:20 PM - 3:55 PM
CLOSED,2019-09-24 16:04:00+00:00,"Officer dispatched to a report of an individual engaged in suspicious activity in the building. Officer arrived, searched  for the individual, and reported that they were gone on arrival.",UNWANTED GUEST,CENTER FOR GOVT AND INTER STUD 1737 CAMBRIDGE ST CAMBRIDGE,9/24/19 4:09 PM - 4:39 PM
CLOSED,2019-09-24 18:34:00+00:00,"Officer dispatched to a report of several individuals skateboarding in the area. Officer arrived, located the individuals, and sent them on their way.",SKATEBOARD/BIKE COMPLAINT,SCIENCE CENTER PLAZA 1 OXFORD ST CAMBRIDGE,9/24/19 18:34
OPEN,2019-09-24 19:42:00+00:00,Officer took a report of peeping and spying.,PEEPING AND SPYING,MOWER HALL B 16 HARVARD YARD CAMBRIDGE,9/21/19 - 0:01 AM 9/24/19 - 7:40 PM
CLOSED,2019-09-25 00:26:00+00:00,Officers dispatched to a report of a noise complaint. Officers arrived and reported that the area was quiet.,NOISE COMPLAINT,22-24 PRESCOTT ST 22 PRESCOTT ST CAMBRIDGE,9/25/19 0:26
CLOSED,2019-09-25 00:54:00+00:00,"Officers dispatched to a report of an individual engaged in suspicious activity. Officers arrived, searched for the        individual, and reported that they were gone on arrival.",SUSPICIOUS ACTIVITY,WIGGLESWORTH HALL J 6 HARVARD YARD CAMBRIDGE,9/25/19 0:54
CLOSED,2019-09-25 07:52:00+00:00,"Officer dispatched to a report of an unwanted guest sleeping near the building. Officer arrived, located the individual,   and sent them on their way.",UNWANTED GUEST,8 STORY STCAMBRIDGE,9/25/19 7:52
CLOSED,2019-09-25 11:34:00+00:00,Officers dispatched to a report of several individuals possibly smoking marijuana in the area. Officers arrived and        reported that the individuals were gone on arrival.,SUSPICIOUS ACTIVITY,19 WARE STCAMBRIDGE,9/25/19 11:34
CLOSED,2019-09-25 13:32:00+00:00,Officer dispatched to take a report of stolen U.S. currency valued at $15.00.,THEFT REPORT,MALKIN ATHLETIC CENTER 39 HOLYOKE ST CAMBRIDGE,9/25/19 12:00 PM - 1:10 PM
CLOSED,2019-09-25 14:59:00+00:00,"Officers dispatched to a report of two individuals possibly attempting to steal a bicycle. Officers arrived, searched for  the individuals, and reported that they were gone on arrival.",THEFT REPORT,AMES HALL 20 EVERETT ST CAMBRIDGE,9/25/19 14:59
CLOSED,2019-09-25 22:13:00+00:00,Officers dispatched to a report of an unwanted guest in the lobby of the building. Officers arrived and reported that the  individual was gone on arrival.,UNWANTED GUEST,VANDERBILT HALL 107 AVE LOUIS PASTEUR BOSTON,9/25/19 22:13
CLOSED,2019-09-25 22:22:00+00:00,"Officer dispatched to a report of an individual who may not have authorization to be in the building. Officer arrived,     located the individual, and sent them on their way.",UNWANTED GUEST,TOSTESON MEC 260 LONGWOOD AVE BOSTON,9/25/19 22:22
CLOSED,2019-09-25 23:23:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,MOTOR VEHICLE ACCIDENT,BROADWAY GARAGE 7 FELTON ST CAMBRIDGE,9/25/19 11:10 PM - 11:15 PM
OPEN,2019-09-26 09:25:00+00:00,Officer dispatched to take a report of a bias-related note.,SUSPICIOUS ACTIVITY,BARKER CENTER 12 QUINCY ST CAMBRIDGE,9/25/19 - 3:00 PM 9/26/19 - 9:40 AM
CLOSED,2019-09-26 11:21:00+00:00,"Officers dispatched to a report of several individuals behind the building. Officers arrived, located the individuals, and sent them on their way.",REMOVE GROUP,19 WARE STCAMBRIDGE,9/26/19 11:21
CLOSED,2019-09-26 12:11:00+00:00,"Officer dispatched to a report of an individual stating that they had an active warrant. Officer arrived, located the      individual, and conducted a field interview. During the field interview, the individual was run for wants/warrants with    negative results. The individual was then sent on their way.",FIELD INTERVIEW,CAMPUS SERVICE CENTER 1350-807 MASSACHUSETTS AVE CAMBRIDGE,9/26/19 12:15 PM - 12:42 PM
CLOSED,2019-09-26 13:11:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,MOTOR VEHICLE ACCIDENT,HUIT - 38 OXFORD 38 OXFORD ST CAMBRIDGE,9/26/19 1:00 PM - 1:40 PM
CLOSED,2019-09-26 13:22:00+00:00,Officer dispatched to take a report of vandalism in the building.,VANDALISM,KRESGE - SPH 677 HUNTINGTON AVE BOSTON,9/9/19 - 2:30 PM 9/18/19 - 6:00 PM
CLOSED,2019-09-26 17:47:00+00:00,"Officers dispatched to a report of an armed robbery. Officers arrived and reported that Cambridge Police was on scene.     Officers and Cambridge Police then searched the area for the individual with negative results. Several hours later,        Cambridge Police reported that one suspect was taken into custody.",ASSIST CAMBRIDGE POLICE,1384 MASSACHUSETTS AVECAMBRIDGE,9/26/19 17:47
CLOSED,2019-09-26 18:11:00+00:00,Officers dispatched to a report of an individual smoking a cigar in the building. Officers arrived and reported that the   individual was no longer smoking a cigar and not located on University property.,UNWANTED GUEST,REB - DENTAL SCHOOL ADDITION 190 LONGWOOD AVE BOSTON,9/26/19 18:11
OPEN,2019-09-26 21:23:00+00:00,Officer dispatched to take a report of a stolen unattended and unsecured Apple Macbook laptop valued at $900.00.,THEFT REPORT,LANGDELL HALL 1545 MASSACHUSETTS AVE CAMBRIDGE,9/26/19 3:00 PM - 7:00 PM
CLOSED,2019-09-26 22:01:00+00:00,"Officer dispatched to take a report of a stolen cream All City bicycle valued at $1,754.00 and a helmet valued at $60.00.  The reporting individual informed the officer that their bicycle was secured to a bike rack with a U-lock valued at        $50.00, which was also stolen.",THEFT REPORT,LARSEN HALL 14 APPIAN WAY CAMBRIDGE,9/26/19 1:00 PM - 9:30 PM
CLOSED,2019-09-27 00:06:00+00:00,"Officers dispatched to a report of an unwanted guest sleeping near the building. Officers arrived, located the individual, and sent them on their way.",UNWANTED GUEST,677 HUNTINGTON AVE,9/27/19 0:06
CLOSED,2019-09-27 08:31:00+00:00,Officer dispatched to take a report of vandalism done to a soap dispenser in a restroom of the building.,VANDALISM,LANDMARK CENTER 401 PARK DR BOSTON,9/26/19 1:00 PM - 3:30 PM
CLOSED,2019-09-27 11:29:00+00:00,"Officers dispatched to a report of an unwanted guest. Officers arrived, located the individual a short distance away, and  conducted a field interview. During the field interview, the individual was run for wants/warrants with negative results.  The individual was then issued a verbal trespass warning for all Harvard University property and sent on their way.",TRESPASS WARNING,AGASSIZ HOUSE 5 JAMES ST CAMBRIDGE,9/27/19 11:00 AM - 11:40 AM
OPEN,2019-09-27 12:29:00+00:00,"Officer took a walk-in report of two stolen packages containing an Apple Airpod case valued at $9.00, two candles valued   at $6.00, and a dress valued at $20.00.",THEFT REPORT,PEABODY TERRACE 10 900 MEMORIAL DR CAMBRIDGE,9/1/19 - 10:55 AM 9/25/19 - 9:00 PM
CLOSED,2019-09-27 16:02:00+00:00,"Officer dispatched to take a report of a stolen unattended and unsecured silver Cannondale bicycle valued at $3,000.00.",THEFT REPORT,ALDRICH HALL 35 HARVARD WAY ALLSTON,9/27/19 9:55 AM - 4:00 PM
CLOSED,2019-09-27 18:04:00+00:00,Officers dispatched to a report of an individual urinating in public. Officers arrived and reported that all was in order.,SUSPICIOUS ACTIVITY,ATHLETICS - CUMNOCK FIELD 2 79 N HARVARD ST ALLSTON,9/27/19 18:04
CLOSED,2019-09-27 20:03:00+00:00,"Officers dispatched to a report of two individuals engaged in suspicious activity. Officers arrived, located the           individuals, and sent them on their way.",SUSPICIOUS ACTIVITY,ATHLETICS - GATE 16 79 N HARVARD ST ALLSTON,9/27/19 20:03
CLOSED,2019-09-28 00:00:00+00:00,Officer dispatched to a report of a loud party. Officer arrived and report that the party was shut down.,LOUD PARTY,CURRIER HOUSE A - BINGHAM HALL 64 LINNAEAN ST CAMBRIDGE,9/28/19 0:01 AM - 0:14 AM
CLOSED,2019-09-28 00:18:00+00:00,Officers dispatched to a report of a noise complaint. Officers arrived and reported that the area was quiet.,NOISE COMPLAINT,85-95 PRESCOTT STREET 95 PRESCOTT ST CAMBRIDGE,9/28/19 0:18
CLOSED,2019-09-28 01:50:00+00:00,Officers dispatched to a report of several unwanted guests smoking cigarettes. Officers arrived and reported that the      individuals were leaving the area upon their arrival.,REMOVE GROUP,19 WARE STCAMBRIDGE,9/28/19 1:50
OPEN,2019-09-28 09:19:00+00:00,"Officer dispatched to take a report of a stolen white Scott Addict bicycle valued at $600.00. The reporting individual     informed the officer that their bicycle was secured to a bike rack with a cable lock valued at $20.00, which was also      stolen.",THEFT REPORT,WINTHROP HOUSE A - STANDISH HA 32 MILL ST CAMBRIDGE,9/26/19 - 2:00 PM 9/28/19 - 9:00 AM
CLOSED,2019-09-28 11:27:00+00:00,Officers dispatched to a report of an individual engaged in suspicious activity. Officers arrived and reported that the    individual was gone on arrival.,SUSPICIOUS ACTIVITY,1 WESTERN AVECAMBRIDGE,9/28/19 11:27
CLOSED,2019-09-28 11:30:00+00:00,"Officer dispatched to take a report of a stolen Arkel pannier backpack valued at $200.00, bicycle pump valued at $50.00,   U-lock valued at $40.00 and various hand tools valued at $25.00.",THEFT REPORT,HARVARD EXTENSION SCHOOL LOT - 51 BRATTLE ST CAMBRIDGE,9/27/18 - 9:00 AM 9/28/19 - 11:00 AM
CLOSED,2019-09-28 14:45:00+00:00,Officer dispatched to a report of several individuals skateboarding in front of the building. Officer arrived and reported that the individuals were gone on arrival.,SKATEBOARD/BIKECOMPLAINT,1 WESTERN AVEALLSTON,9/28/19 14:45
CLOSED,2019-09-28 14:48:00+00:00,Officer dispatched to take a report of a stolen silver pitcher and ladle valued at $500.00.,THEFT REPORT,PFORZHEIMER HOUSE - COMSTOCK H 130 WALKER ST CAMBRIDGE,9/18/19 - 12:00 PM 9/28/19 - 2:30 PM
CLOSED,2019-09-28 17:05:00+00:00,Officer dispatched to a report of a small mulch fire near the building. Officer arrived and reported that the fire was     extinguished by the Cambridge Fire Department.,FIRE,WINTHROP HOUSE FACULTY DEAN 966 MEMORIAL DR CAMBRIDGE,9/28/19 5:05 PM - 5:30 PM
CLOSED,2019-09-29 00:12:00+00:00,Officers dispatched to a report of a noise complaint. Officers and Cambridge Police arrived and advised occupants to keep  the noise level down.,NOISE COMPLAINT,HARVARD ADVOCATE 21 SOUTH ST CAMBRIDGE,9/29/19 0:12
ARREST,2019-09-29 09:31:00+00:00,"Officer while on patrol observed an individual who had an active trespass warning for all Harvard University property      inside of the building. Officer approached the individual and conducted a field interview. During the field interview, the individual made several disruptive and volatile remarks towards the officer. At the conclusion of the field interview, the individual was informed that they were being placed under arrest for Trespassing. At this time, the individual began to    actively resist the officer and clutched onto a beam in the immediate area. Additional officers then assisted and the      individual was eventually separated from the beam. The individual was then transported to the Harvard University Police    Department for booking and additionally charged with resisting arrest.                                                                                                                                                                                Name: Jackson, Terry                                                                                                       Age: 20                                                                                                                    Address: 305 Turnpike St., South Easton, MA 02375                                                                          Charge(s): Trespassing                                                                                                     Resisting Arrest",TRESPASSING,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,9/29/19 9:31 AM - 10:01 AM
CLOSED,2019-09-29 10:34:00+00:00,Officer dispatched to take a report of stolen U.S. currency valued at $225.00.,THEFT REPORT,CANADAY HALL G 22 HARVARD YARD CAMBRIDGE,9/28/19 10:50 AM - 4:15 PM
OPEN,2019-09-29 15:45:00+00:00,"Officer dispatched to take a report of a stolen red and black bicycle valued at $1,000.00. The reporting individual        informed the officer that their bicycle was secured to the bike rack with a cable lock that was damaged and left at the    scene.",THEFT REPORT,TOSTESON MEC 260 LONGWOOD AVE BOSTON,9/29/19 12:00 PM - 3:25 PM
CLOSED,2019-09-29 16:15:00+00:00,"Officers dispatched to a report of an individual engaged in a disturbance. Officers arrived, located the individual, and   reported that they were no longer located on University property and not engaged in any disruptive behavior at the time.",DISTURBANCE,253-269 WESTERN AVE 267 WESTERN AVE ALLSTON,9/29/19 16:15
CLOSED,2019-09-29 18:09:00+00:00,Officer dispatched to take a report of a stolen package containing a passport.,THEFT REPORT,CABOT HOUSE B - BRIGGS HALL 60 LINNAEAN ST CAMBRIDGE,9/28/19 9:23 AM - 4:20 PM
CLOSED,2019-09-29 18:54:00+00:00,Officer dispatched to a report of damage to a window screen. Officer arrived and reported that the screen was likely       damaged as a result of individuals sitting on the sill.,PROPERTY DAMAGE,5 SACRAMENTO STCAMBRIDGE,9/29/19 18:54
CLOSED,2019-09-29 20:14:00+00:00,Officer dispatched to a report of two individuals engaged in suspicious activity. Officer arrived and reported that the    individuals were gone on arrival.,SUSPICIOUS ACTIVITY,HARVARD YARD - WIDENER GATE 42 HARVARD YARD CAMBRIDGE,9/29/19 20:14
CLOSED,2019-09-30 00:35:00+00:00,Officer dispatched to take a report of several individuals who were observed loitering around the bicycle rack and fled    the area upon being approached by a security guard.,SUSPICIOUS ACTIVITY,CONTINUUM 219 WESTERN AVE ALLSTON,9/30/19 0:05 AM - 0:45 AM
CLOSED,2019-09-30 08:02:00+00:00,"Officer dispatched to a report of an individual causing a disturbance inside of the building. Officer arrived, located the individual outside of the building, and conducted a field interview. During the field interview, the individual was run    for wants/warrants with negative results but did show positive results for an active trespass warning for all Harvard      University property. The individual was reminded of their warning and sent on their way.",FIELD INTERVIEW,WASSERSTEIN HALL 1585 MASSACHUSETTS AVE CAMBRIDGE,9/30/19 8:00 AM - 8:20 AM
CLOSED,2019-09-30 09:47:00+00:00,Officer dispatched to take a report of a motor vehicle accident with no personal injuries.,MOTOR VEHICLE ACCIDENT,WARREN ALPERT BUILDING LOADING 200 LONGWOOD AVE BOSTON,9/30/19 9:35
OPEN,2019-09-30 11:53:00+00:00,"Officer dispatched to take a report of a stolen black Specialized Crosstrail bicycle valued at $300.00. The reporting      individual informed the officer that their bicycle was secured to a bike rack with a lock and chain valued at $20.00,      which was also stolen.",THEFT REPORT,1 WESTERN AVEALLSTON,9/27/19 - 9:30 PM 9/29/19 - 9:30 AM
CLOSED,2019-09-30 12:44:00+00:00,"Officers dispatched to a report of several unwanted guests behind the building. Officers arrived, located the individuals, and sent them on their way.",REMOVE GROUP,19 WARE STCAMBRIDGE,9/30/19 12:44
CLOSED,2019-09-30 13:05:00+00:00, ,ANNOYING & ACCOSTING,DISTRICT ENERGY FACILITY 12 WESTERN AVE ALLSTON,9/12/19 - 12:30 PM 9/27/19 - 1:30 PM
CLOSED,2019-09-30 13:10:00+00:00,Officer dispatched to take a report of annoying voicemails.,ANNOYING CALLS/TEXTS/EMAILS,SPH - BUILDING 2 - 665 HUNTING 665 HUNTINGTON AVE BOSTON,9/30/19 8:00 AM - 12:00 PM
CLOSED,2019-09-30 21:38:00+00:00,Officer dispatched to take a report of tagging/graffiti done to the side of the building.,VANDALISM,DUDLEY HOUSE - LEHMAN HALL 8 HARVARD YARD CAMBRIDGE,9/30/19 9:35 PM - 10:00 PM
CLOSED,2019-09-30 22:33:00+00:00,Officers dispatched to a report of a possibly intoxicated individual engaged in suspicious activity. Officers arrived and  reported that the individual was gone on arrival.,SUSPICIOUS ACTIVITY,HARVARD YARD 1 PEABODY ST CAMBRIDGE,9/30/19 22:33
CLOSED,2019-10-01 00:54:00+00:00,"Officer dispatched to a report of an individual engaged in suspicious activity. Officer arrived, searched for the          individual, and reported that they were gone on arrival.",SUSPICIOUS ACTIVITY,HURLBUT HALL NORTH 2 PRESCOTT ST CAMBRIDGE,10/1/19 0:30 AM - 1:10 AM
CLOSED,2019-10-01 11:00:00+00:00,Officers dispatched to a report of an individual possibly attempting to gain access into the building. Officers arrived    and reported that the individual was gone on arrival.,SUSPICIOUS ACTIVITY,BOYLSTON HALL 5 HARVARD YARD CAMBRIDGE,10/1/19 11:00
CLOSED,2019-10-01 12:02:00+00:00,Officer dispatched to take a report of a stolen debit card.,THEFT REPORT,SMITH CAMPUS CENTER 1350 MASSACHUSETTS AVE CAMBRIDGE,9/29/19 5:00 PM - 5:03 PM
CLOSED,2019-10-01 14:07:00+00:00,"Officers dispatched to a report of an individual playing loud music outside of the building. Officers arrived, located the individual, and sent them on their way.",UNWANTED GUEST,8 STORY STCAMBRIDGE,10/1/19 14:07
OPEN,2019-10-01 17:39:00+00:00,"Officer dispatched to take a report of a stolen black Giant bicycle valued at $400.00 and miscellaneous accessories valued at $160.00. The reporting individual informed the officer that their bicycle had been secured in the bicycle cage. Upon    further inspection of the bicycle cage, officer reported that there had been a malfunction with the locking mechanism      which caused the door to be left unsecured.",THEFT REPORT,LITTAUER HKS 79 JFK ST CAMBRIDGE,10/1/19 10:20 AM - 5:30 PM
CLOSED,2019-10-01 22:44:00+00:00,"Officers dispatched to a report of an unwanted guest refusing to leave the building. Officers arrived, located the         individual, and sent them on their way.",UNWANTED GUEST,SCIENCE CENTER 1 OXFORD ST CAMBRIDGE,10/1/19 22:44
CLOSED,2019-10-01 22:59:00+00:00,Officer dispatched to a report of a noise complaint. Officer and Cambridge Police arrived and reported that the area was   quiet.,ASSIST CAMBRIDGE POLICE,OWL CLUB 30 HOLYOKE ST CAMBRIDGE,10/1/19 22:59
CLOSED,2019-10-01 23:54:00+00:00,Officers dispatched to a report of a loud party. Officers arrived and reported that the occupants were dispersing for the  evening.,LOUD PARTY,37-41 KIRKLAND ST 41 KIRKLAND ST CAMBRIDGE,10/1/19 23:54
CLOSED,2019-10-02 06:00:00+00:00,Officer dispatched to a report of a vehicle fire. Officers arrived and reported that the fire was in the back of a pick-up truck and that the fire was extinguished by Boston Fire.,FIRE,SPANGLER CENTER LOT 117 WESTERN AVE ALLSTON,10/2/19 6:02 AM - 6:28 AM
CLOSED,2019-10-02 06:45:00+00:00,Officers dispatched on the report of an altercation between two drivers.  Officers arrived and determined that one of the  drivers had left the area and that the dispute was over live parking in the lot.,ASSIST BOSTON POLICE,CONTINUUM 219 WESTERN AVE ALLSTON,10/2/19 6:40 AM - 7:05 AM
CLOSED,2019-10-02 08:51:00+00:00,"Officer dispatched on the report of an individual lying down at the bus stop.  Officer arrived, located the individual who was just taking a nap and all was well.",ASSIST TRANSIT POLICE,TAUBMAN CENTER 15 ELIOT ST CAMBRIDGE,10/2/19 8:51
OPEN,2019-10-02 16:07:00+00:00,Officer dispatched to take a report of a stolen unattended and unsecured Boston Bruins jacket valued at $100.00.,THEFT REPORT,SPANGLER CENTER 117 WESTERN AVE ALLSTON,10/1/19 2:30 PM - 4:00 PM
CLOSED,2019-10-02 16:31:00+00:00,Officer dispatched to a report of a smoke coming from a trashcan. Officer arrived and reported that no smoke could be      detected.,SUSPICIOUS ODOR/SMOKE,SPANGLER CENTER 117 WESTERN AVE ALLSTON,10/2/19 16:31
ARREST,2019-10-02 23:15:00+00:00,"Officer dispatched to a report of an unwanted guest who was observed in a Harvard building who has an active trespass      warning for all Harvard University property. Officer arrived, located individual in the building an conducted a field      interview. The individual was then informed that they were being placed under arrest for Trespassing and transported to    Cambridge Police Department for booking.                                                                                                                                                                                                              Name: Dunlap, Scotty F.                                                                                                    Age: 44                                                                                                                    Address: Homeless                                                                                                          Charge(s): Trespassing",TRESPASSING,SCIENCE CENTER 1 OXFORD ST CAMBRIDGE,10/2/19 11:10 PM - 11:15 PM
CLOSED,2019-10-02 23:19:00+00:00,Officers dispatched to a report of an individual engaged in suspicious activity in the area. Officers arrived and reported that the individual was gone on arrival.,SUSPICIOUS ACTIVITY,HARVARD YARD 1 PEABODY ST CAMBRIDGE,10/2/19 23:19
CLOSED,2019-10-02 23:26:00+00:00,"Officers dispatched to a report of an unwanted guest acting in an erratic manner in the building.  Officers arrived,       located individual and conducted a field interview. During the fiend interview, it was determined that the individual had  an active trespass warning for the University.  Officers determined that the individual needed to be assessed at a medical facility.  The individual was transported by ambulance to a nearby facility.",FIELD INTERVIEW,LOWELL HOUSE DINING HALL 10 HOLYOKE PL CAMBRIDGE,10/2/19 - 11:26 PM 10/3/19 - 1:05 AM
CLOSED,2019-10-03 00:58:00+00:00,Officer dispatched to take a report of past suspicious activity.,ASSIST CAMBRIDGE POLICE,KIRKLAND HOUSE C - SMITH HALL 95 DUNSTER ST CAMBRIDGE,10/3/19 0:58 AM - 1:20 AM
CLOSED,2019-10-03 07:43:00+00:00,"Officer dispatched to a report of an unwanted guest sleeping in the area. Officer arrived, located the individual, and     sent them on their way.",UNWANTED GUEST,8 STORY ST 8 STORY ST CAMBRIDGE,10/3/19 7:43
CLOSED,2019-10-03 11:21:00+00:00,Officers dispatched to a report of a group of unwanted guests loitering behind the building. Officers arrived and reported that the individuals were gone on arrival.,UNWANTED GUEST,19 WARE STREET 19 WARE ST CAMBRIDGE,10/3/19 11:21
OPEN,2019-10-03 11:25:00+00:00,Officer took a walk-in report of two stolen packages containing a Brita water filter valued at $30.00 and a a package of   Huggies diapers valued at $35.00.  The Brita water filter package was discovered opened in another building.,THEFT REPORT,PEABODY TERRACE 10 900 MEMORIAL DR CAMBRIDGE,9/30/19 2:00 PM - 3:00 PM
CLOSED,2019-10-03 13:52:00+00:00,"Officers dispatched on the report of an unwanted guest acting erratically in the building. Officers arrived, and observed  the individual outside of the building and conducted a field interview. During the field interview, the individual was run for wants/warrants with negative results. Officers determined that the individual needed to be assessed at a medical       facility.  The individual was transported by ambulance to a nearby facility.",FIELD INTERVIEW,FOGG MUSEUM 32 QUINCY ST CAMBRIDGE,10/3/19 1:48 PM - 2:15 PM
OPEN,2019-10-03 14:57:00+00:00,Officer on patrol observed a group of individuals fighting. The officer intervened in the fight and the group fled the     area.,ASSAULT REPORT,JOHNSTON GATE 1465 MASSACHUSETTS AVE CAMBRIDGE,10/3/19 2:57 PM - 3:15 PM
OPEN,2019-10-03 15:03:00+00:00,Officer dispatched to take a report of annoying emails.,ANNOYING CALLS/TEXTS/EMAILS,GRISWOLD HALL 1525 MASSACHUSETTS AVE CAMBRIDGE,9/30/19 - 11:45 AM 10/1/19 - 4:32 PM
CLOSED,2019-10-03 18:07:00+00:00,Officers dispatched to a report of several individuals skateboarding in the area. Officers arrived and reported that the   individuals were leaving upon their arrival.,SKATEBOARD/BIKE COMPLAINT,HUIT - 784 MEMORIAL DR 784 MEMORIAL DR CAMBRIDGE,10/3/19 18:07
CLOSED,2019-10-03 23:42:00+00:00,"Officer dispatched to a report of an unwanted guest sleeping in the area. Officer arrived, located the individual, and     sent them on their way.",UNWANTED GUEST,PEABODY TERRACE 34 900 MEMORIAL DR CAMBRIDGE,10/3/19 23:42
CLOSED,2019-10-04 07:43:00+00:00,"Officers dispatched to a report of an unwanted guest in the alleyway behind the building. Officers arrived, located the    individual, and sent them on their way.",UNWANTED GUEST,8 STORY STCAMBRIDGE,10/4/19 7:43
CLOSED,2019-10-04 13:16:00+00:00,Officers dispatched to a report of several individuals possibly smoking marijuana. Officers arrived and reported that the  individuals were gone on arrival.,SUSPICIOUS ACTIVITY,SOLDIERS FIELD PARK 15 111 WESTERN AVE ALLSTON,10/4/19 13:16
OPEN,2019-10-04 13:36:00+00:00,Officer dispatched to take a report of a previous unwanted guest inside of the building.,UNWANTED GUEST,WILLIAM JAMES HALL 33 KIRKLAND ST CAMBRIDGE,9/24/19 - 9:23 PM 9/30/19 - 12:00 PM
OPEN,2019-10-04 16:32:00+00:00,"Officer dispatched to take a report of a stolen Apple iPad Mini valued at $1,000.00.",THEFT REPORT,BATTEN HALL 125 WESTERN AVE ALLSTON,10/2/19 - 3:00 PM 10/4/19 - 4:00 PM
CLOSED,2019-10-04 19:48:00+00:00,"Officer dispatched to a report of an attempted bicycle theft. Officer arrived, searched the area for the individual, and   reported that they were gone on arrival.",ASSIST CAMBRIDGE POLICE,MASSACHUSETTS AVECAMBRIDGE,10/4/19 7:40 PM - 8:30 PM
CLOSED,2019-10-04 22:27:00+00:00,Officers dispatched to a report of a noise complaint. Officers arrived and reported that the occupants had been advised to keep the noise level down.,NOISE COMPLAINT,MATHER HOUSE A 93 BANKS ST CAMBRIDGE,10/4/19 22:27
